num_layers,learning_rate,dropout_rate,optimizer,activation,conv_units,padding,pooling_type,use_batch_norm,pooling_size,dense_units,regularization_type,l1_reg,batch_size,epochs,Trial ID,Final Validation Loss,l1_ratio,l2_reg
4,0.001,0.4,sgd,tanh,64,same,max,False,2x2,12,l1,0.0009824711447422325,128,30,12,\textbf{1.9599469661712647},0.0,0.0027634120557719203
4,0.01,0.0,rmsprop,tanh,32,same,max,True,3x3,10,l2,7.353196418270321e-05,64,40,13,\textbf{0.37691912055015564},0.2,0.006936859608099088
2,0.01,0.0,rmsprop,selu,32,same,average,False,3x3,14,elasticnet,0.0007556490515446691,64,15,14,\textbf{0.2212855786085129},0.7000000000000001,0.00012205601230379844
3,0.01,0.1,rmsprop,tanh,128,same,max,True,2x2,2,l2,0.0017203731149807759,128,30,15,\textbf{0.20808627605438232},0.0,0.000771657801420234
2,0.001,0.4,adam,relu,128,same,max,True,2x1,2,l1,0.003332283580166981,128,40,16,\textbf{0.10267565846443176},0.30000000000000004,0.0021582036249912268
2,0.01,0.1,rmsprop,selu,64,same,max,False,2x1,16,l2,0.0005159569941837041,16,30,17,\textbf{0.054565295577049255},0.1,0.007006192835580882
4,0.001,0.30000000000000004,adam,relu,32,same,max,False,2x1,12,l2,1.330625082247861e-05,32,40,18,\textbf{0.2833612561225891},0.1,0.0005192284222884608
3,0.001,0.2,rmsprop,selu,96,same,max,True,2x1,16,elasticnet,0.00013562501444661616,64,50,19,\textbf{0.19713907539844513},0.9,0.005374717564705903
2,0.001,0.30000000000000004,sgd,relu,64,same,average,True,2x2,16,l1,0.0006039703545822295,128,30,20,\textbf{1.5479976892471314},0.8,5.112161307716129e-05
4,0.0001,0.0,sgd,relu,96,same,max,False,2x1,6,l2,1.377381095430784e-05,128,15,21,\textbf{0.866883111000061},0.1,0.0022564760312360843
2,0.001,0.0,rmsprop,selu,64,same,max,True,3x1,16,l2,0.001928660202076609,16,40,22,\textbf{0.18063254356384278},0.9,0.0004995888634787179
4,0.0001,0.0,adam,selu,96,same,max,True,2x1,10,l1,1.804998820303882e-05,64,40,23,\textbf{0.34936479926109315},0.7000000000000001,4.3703986765540255e-05
4,0.0001,0.0,adam,selu,64,same,max,True,3x1,10,elasticnet,5.979364964763922e-05,64,15,24,\textbf{0.42065280079841616},0.7000000000000001,5.820688095197562e-05
4,0.001,0.2,sgd,tanh,32,same,average,False,2x2,8,l1,2.8456687087705673e-05,32,15,25,\textbf{0.3139463603496552},0.8,0.008552371471306905
2,0.01,0.0,adam,relu,128,same,average,False,3x3,10,l1,0.000513731308884635,32,30,26,\textbf{0.27066261172294614},0.2,0.009580875608796521
4,0.0001,0.1,sgd,relu,64,same,max,False,2x1,6,l2,0.0001405051872556717,64,40,27,\textbf{0.4466220200061798},0.6000000000000001,0.0008517978788082235
4,0.01,0.2,rmsprop,relu,64,same,average,False,2x2,16,elasticnet,2.316850905661695e-05,64,15,28,\textbf{0.2824419677257538},0.4,7.43805105772949e-05
4,0.0001,0.1,adam,selu,128,same,average,True,2x2,2,l1,0.00029530327185104495,32,40,29,\textbf{0.31785598397254944},0.6000000000000001,0.007256463830586579
3,0.001,0.0,adam,tanh,64,same,max,False,3x1,10,l2,0.0006356834118028936,64,40,30,\textbf{0.33225520253181456},0.1,0.0032830674000631247
3,0.001,0.1,sgd,selu,32,same,average,True,2x2,16,elasticnet,0.00015536901242668073,32,50,31,\textbf{0.3789512515068054},0.7000000000000001,0.001448509053588252
3,0.001,0.30000000000000004,sgd,tanh,64,same,average,False,2x2,8,l2,0.00923099056343829,64,30,32,\textbf{0.23620168566703797},0.30000000000000004,6.105097327032877e-05
4,0.001,0.4,adam,tanh,32,same,max,False,3x1,10,elasticnet,3.2189144476374345e-05,128,30,33,\textbf{0.3807917594909668},0.2,0.002943497104413892
2,0.001,0.30000000000000004,sgd,relu,128,same,max,False,3x1,2,l2,5.416372154490422e-05,32,30,34,\textbf{0.27658977508544924},0.30000000000000004,0.00016173166713183553
4,0.01,0.1,rmsprop,selu,128,same,average,True,3x3,6,l1,0.00030710488269344594,64,30,35,\textbf{0.5006051898002625},0.9,0.0004091219734485813
4,0.01,0.1,adam,selu,96,same,max,True,3x3,10,l2,1.1946863883107858e-05,32,30,36,\textbf{0.3757417738437653},0.30000000000000004,0.00019531067416270109
3,0.001,0.1,rmsprop,selu,32,same,max,False,2x2,4,l2,0.0005422922002994077,128,40,37,\textbf{0.2172374665737152},0.30000000000000004,0.0068827983694562745
4,0.01,0.0,sgd,tanh,64,same,max,False,2x2,8,l2,0.00012255368158054305,128,15,38,\textbf{0.30346580743789675},0.7000000000000001,4.9089624794629794e-05
4,0.001,0.30000000000000004,rmsprop,relu,96,same,max,True,3x3,16,l1,0.00465567975023858,64,50,39,\textbf{0.4943783700466156},0.9,0.0012740556224279593
2,0.0001,0.2,adam,selu,128,same,max,False,2x1,14,elasticnet,0.0005327819479044143,16,30,40,\textbf{0.06871146410703659},0.5,0.004685927698179664
4,0.001,0.0,sgd,selu,32,same,average,True,2x2,6,l1,0.0007526225036279279,32,50,41,\textbf{0.7577228307723999},0.6000000000000001,6.658319944047341e-05
2,0.001,0.30000000000000004,adam,selu,96,same,max,False,3x1,16,elasticnet,0.0039028759172188418,128,15,42,\textbf{0.2586343824863434},0.5,0.00322722849745359
2,0.01,0.30000000000000004,sgd,selu,128,same,average,False,2x2,2,l1,0.0003255639325303961,128,50,43,\textbf{1.5153267621994018},0.9,8.445072115690769e-05
3,0.0001,0.0,adam,selu,128,same,average,False,2x1,16,l1,8.359478384800351e-05,128,40,44,\textbf{0.286947038769722},0.4,0.0012210313809070967
2,0.01,0.4,rmsprop,relu,32,same,max,True,2x1,12,l2,0.005659410499182105,128,30,45,\textbf{0.05068647637963295},0.6000000000000001,0.0033917042620198374
3,0.0001,0.2,sgd,selu,32,same,max,True,3x3,4,elasticnet,1.3485025871063286e-05,128,30,46,\textbf{0.34788411259651186},0.1,6.731750615235898e-05
2,0.001,0.2,rmsprop,selu,128,same,max,False,3x3,14,l1,0.00262184318617957,64,30,47,\textbf{0.3624583542346954},0.9,0.0019081303967012151
3,0.01,0.2,rmsprop,selu,96,same,average,True,3x3,16,l2,0.007253758440904375,128,50,48,\textbf{0.3291388750076294},0.0,0.0001157026303587266
4,0.01,0.30000000000000004,sgd,relu,128,same,max,False,2x1,2,l2,2.0669810642923744e-05,128,40,49,\textbf{1.9599105596542359},0.5,0.006762120406486076
