learning_rate,num_layers,dense_size1,dropout_rate,optimizer,activation,use_batch_norm,regularization_type,l1_reg,l2_reg,batch_size,epochs,l1_ratio,Trial ID,Final Validation Loss
0.01,2,16,0.3,sgd,relu,1,l1,1.2335e-05,6.8200e-05,128,30,0.4,04,0.1199
0.0001,3,24,0.0,sgd,tanh,0,l2,2.7288e-05,9.2283e-05,64,50,0.8,05,0.1274
0.0001,3,32,0.2,adam,relu,0,l1,3.8519e-05,9.1024e-05,32,30,0.8,12,0.116
0.01,2,32,0.0,rmsprop,tanh,0,elasticnet,3.5250e-05,3.8840e-05,32,30,0.2,08,0.116
0.0001,3,16,0.3,sgd,tanh,1,l2,5.2040e-05,1.0000e-06,16,15,,00,0.1227
0.001,3,16,0.4,sgd,tanh,0,l2,9.3392e-05,2.5612e-06,128,40,0.5,40,0.1193
0.001,3,24,0.3,sgd,selu,0,l2,5.3662e-05,3.6221e-06,32,30,0.6,36,0.1204
0.001,2,24,0.2,sgd,selu,1,l1,9.3371e-06,3.0612e-06,16,30,0.2,48,0.1249
0.01,3,16,0.4,adam,relu,1,l1,1.4561e-05,2.1571e-06,128,50,0.3,28,0.116
0.0001,3,24,0.0,sgd,selu,0,l2,2.7794e-05,1.3787e-05,128,40,0.1,13,0.1394
0.0001,3,32,0.4,adam,relu,0,elasticnet,3.9233e-06,7.5789e-05,64,40,0.3,46,0.1162
0.01,2,16,0.2,sgd,tanh,0,elasticnet,1.6308e-06,4.8085e-06,128,50,0.8,45,0.1178
0.001,3,16,0.0,rmsprop,selu,1,elasticnet,2.6335e-05,9.8922e-06,64,40,0.2,10,0.1172
0.0001,3,16,0.0,adam,tanh,0,elasticnet,9.2319e-06,1.6192e-06,16,15,0.2,06,0.1163
0.01,3,16,0.4,rmsprop,relu,0,l1,2.8460e-05,2.7265e-05,32,15,0.1,27,0.116
0.0001,2,16,0.0,rmsprop,selu,0,l2,1.4132e-05,5.2971e-06,128,50,0.7,18,0.1166
0.0001,2,24,0.0,rmsprop,relu,1,l2,1.0314e-05,7.7306e-06,64,15,0.6,32,0.1174
0.001,3,16,0.2,adam,tanh,0,l2,2.6620e-05,1.6086e-05,128,15,0.7,43,0.1161
0.01,3,24,0.0,sgd,tanh,0,l2,1.3388e-05,2.0397e-05,64,50,0.9,24,0.1191
0.01,2,24,0.2,sgd,selu,0,elasticnet,2.4582e-05,1.2991e-06,32,50,0.7,09,0.1222
0.001,3,32,0.1,adam,selu,1,elasticnet,1.2954e-05,8.5411e-06,128,40,0.5,41,0.1162
0.001,3,32,0.3,rmsprop,tanh,0,elasticnet,1.4735e-05,1.5179e-05,64,50,0.0,03,0.1171
0.01,2,16,0.4,rmsprop,tanh,1,l1,4.2319e-06,3.1379e-06,16,15,0.1,23,0.116
0.001,2,32,0.3,rmsprop,tanh,1,elasticnet,1.0182e-05,8.6374e-06,16,30,0.3,47,0.1166
0.001,3,24,0.1,adam,selu,1,l2,3.9336e-06,2.4197e-06,16,15,0.8,26,0.116
0.001,3,16,0.3,sgd,tanh,0,l2,5.8111e-05,2.0462e-05,128,15,0.3,19,0.1193
0.0001,3,24,0.3,sgd,selu,1,l2,6.4034e-06,1.9021e-06,16,40,0.1,11,0.1364
0.001,3,24,0.4,adam,selu,1,l2,1.5701e-05,8.6531e-05,128,50,0.0,25,0.1161
0.001,3,32,0.3,sgd,selu,1,l1,1.6859e-06,1.3370e-05,64,30,0.1,49,0.1292
0.0001,2,32,0.1,rmsprop,tanh,0,l1,4.6415e-06,3.8168e-06,128,50,,02,0.118
0.01,2,32,0.2,sgd,relu,1,l1,1.4947e-05,2.2711e-06,16,40,0.5,30,0.1227
0.0001,2,16,0.2,rmsprop,selu,0,l1,1.8125e-05,1.8060e-06,64,50,0.2,20,0.1193
0.0001,2,24,0.3,rmsprop,tanh,1,l1,1.1807e-05,7.9145e-05,64,50,0.7,29,0.119
